memory_id	name	at	from	to	type	action
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:34:35,000	Drakaw	Chiara	outgoing_action	Drakaw inclinou a cabeça levemente para o toque de Chiara, um leve rubor subindo por seu pescoço. Seus olhos, antes focados nas acrobacias, agora encontravam os de Chiara com uma intensidade recém-descoberta, e um sorriso suave brincou em seus lábios.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:34:42,341	Chiara	Drakaw	incoming_action	Chiara sorriu de volta, seus olhos transmitindo uma ternura genuína. Ela manteve a mão em seu rosto por um instante a mais, sentindo a textura de sua pele sob seus dedos, antes de retirá-la lentamente. O gesto parecia selar a promessa não dita que pairava entre eles.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:34:51,373	Drakaw	Chiara	outgoing_action	Drakaw suspirou suavemente, os olhos ainda fixos nos de Chiara. Ele levou a mão livre ao local onde os dedos dela haviam estado, um gesto quase inconsciente de apreciar o contato. Seus lábios se moveram em uma leve inclinação, como se estivesse prestes a dizer algo, mas as palavras pareciam presas na garganta, substituídas por um olhar que falava de admiração e desejo.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:34:59,818	Chiara	Drakaw	incoming_action	Chiara deu um passo sutil à frente, sua mão livre movendo-se para descansar levemente sobre o peito de Drakaw, sentindo o batimento de seu coração sob o tecido. Seus olhos, espelhando a admiração de Drakaw, piscaram lentamente, uma aceitação silenciosa do que estava se formando entre eles.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:08,263	Drakaw	Chiara	outgoing_action	Drakaw deixou escapar um suspiro mais profundo desta vez, um som rouco carregado de emoção. Ele inclinou a cabeça levemente para o toque de Chiara, fechando os olhos por um breve instante, como se saboreasse o momento. Ao abri-los novamente, um brilho de esperança e entrega dançava em seu olhar.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:16,586	Chiara	Drakaw	incoming_action	Chiara, sentindo a entrega de Drakaw, lentamente aproximou seu rosto do dele. Seus lábios pairaram a uma distância mínima dos dele, um convite silencioso. Um leve tremor percorreu seu corpo, um misto de antecipação e a força sutil de sua magia envolvendo o espaço entre eles.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:24,040	Drakaw	Chiara	outgoing_action	Drakaw fechou a pequena distância entre seus lábios, o toque inicial sendo suave e hesitante, logo se aprofundando em um beijo cheio de anseio. Sua mão livre se ergueu para acariciar o rosto de Chiara, traçando a linha de sua mandíbula com uma ternura crescente.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:35,417	Chiara	Drakaw	incoming_action	Chiara retribuiu o beijo com fervor, seus braços envolvendo o pescoço de Drakaw, atraindo-o para mais perto. Um suave brilho emanou de sua pele, um reflexo da magia que se intensificava com a emoção, envolvendo os dois em um casulo de luz estelar.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:44,658	Drakaw	Chiara	outgoing_action	Drakaw aprofundou o beijo, suas mãos subindo para envolver a cintura de Chiara, puxando-a ainda mais para si. Ele murmurou algo inaudível contra seus lábios, um som rouco que transbordava de emoção e ternura.
f3cd5a38-2716-4279-b0d4-030367f949c0	Drakaw	2025-09-15T06:35:54,618	Chiara	Drakaw	incoming_action	Chiara afastou-se ligeiramente, o rosto corado e os olhos brilhando com uma mistura de satisfação e desejo. Ela colocou uma mão suavemente na bochecha de Drakaw, acariciando-o com o polegar enquanto olhava em seus olhos. Um pequeno sorriso brincou em seus lábios, mas seus olhos falavam mais alto, transmitindo uma promessa de mais momentos como aquele.
